ProgramSection,ProgramSubSection,Activity,AgeGroup,Location,CourseCode,CourseComments,CourseDayofWeek,CourseDate,CourseTime
Aquatics,Schoolage Aquatics,RC Swim Kids 3,5-12 years,West End Community Centre,166058,Combined with Swim Kids 4,Mon/Wed,Jun 30-Jul 28,4:30-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 3,5-12 years,West End Community Centre,166059,Combined with Swim Kids 4,Thu/Tue,Jul3-31,7:30-8 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 3,5-12 years,West End Community Centre,166060,Combined with Swim Kids 4,Thu,Jul 3-Aug 28,4:30-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166061,No class July 1,Mon-Fri,Jun 30-Jul 11,9:30-10 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166062,Combined with Swim Kids 3,Mon/Wed,Jun 30-Jul 28,6:30-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166064,Combined with Swim Kids 3,Wed,Jul 2-Aug 27,7-7:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166065,Combined with Swim Kids 3,Thu,Jul 3-Aug 28,7-7:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166066,Combined with Swim Kids 3,Tue,Jul 8-Aug 26,4:30-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166067,Combined with Swim Kids 3,Mon/Wed,Jun 30-Jul 28,4:30-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 4,5-12 years,West End Community Centre,166069,Combined with Swim Kids 3,Thu,Jul 3-Aug 28,4:30-5 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166070,Combined with Swim Kids 6  No class July 1,Mon-Fri,Jun 30-Jul 11,8:45-9:30 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166071,Combined with Swim Kids 6  No class July 1,Mon-Fri,Jun 30-Jul 11,10:30-11:15 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166072,Combined with Swim Kids 6,Mon/Wed,Jun 30-Jul 28,6:15-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166074,Combined with Swim Kids 6,Thu,Jul 3-Aug 28,5-5:45 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166075,Combined with Swim Kids 6,Thu/Tue,Jul3-31,5:15-6 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 5,6-12 years,West End Community Centre,166076,Combined with Swim Kids 6,Wed,Jul 2-Aug 27,4:45-5:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166077,Combined with Swim Kids 5  No class July 1,Mon-Fri,Jun 30-Jul 11,10:30-11:15 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166078,Combined with Swim Kids 5  No class July 1,Mon-Fri,Jun 30-Jul 11,8:45-9:30 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166079,Combined with Swim Kids 5,Mon/Wed,Jun 30-Jul 28,6:15-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166081,Combined with Swim Kids 5,Thu,Jul 3-Aug 28,5-5:45 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166082,Combined with Swim Kids 5,Thu/Tue,Jul3-31,5:15-6 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 6,6-12 years,West End Community Centre,166083,Combined with Swim Kids 5,Wed,Jul 2-Aug 27,4:45-5:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 7,6-12 years,West End Community Centre,166084,Combined with Swim Kids 8  No class July 1,Mon-Fri,Jun 30-Jul 11,9:30-10:30 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 7,6-12 years,West End Community Centre,166085,Combined with Swim Kids 8,Mon/Wed,Jun 30-Jul 28,4:15-5:15 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 7,6-12 years,West End Community Centre,166086,Combined with Swim Kids 8,Thu/Tue,Jul3-31,6-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 7,6-12 years,West End Community Centre,166087,Combined with Swim Kids 8,Wed,Jul 2-Aug 27,6:15-7:15 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 8,6-12 years,West End Community Centre,166089,Combined with Swim Kids 7,Wed,Jul 2-Aug 27,6:15-7:15 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 8,6-12 years,West End Community Centre,166091,Combined with Swim Kids 7,Mon/Wed,Jun 30-Jul 28,4:15-5:15 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 8,6-12 years,West End Community Centre,166092,Combined with Swim Kids 7  No class July 1,Mon-Fri,Jun 30-Jul 11,9:30-10:30 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 8,6-12 years,West End Community Centre,166093,Combined with Swim Kids 7,Thu/Tue,Jul3-31,6-7 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 9,6-12 years,West End Community Centre,166094,Combined with Swim Kids 10,Wed,Jul 2-Aug 27,7:15-8:15 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 9,6-12 years,West End Community Centre,166095,Combined with Swim Kids 10,Mon/Wed,Jun 30-Jul 28,4:30-5:30 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 9,6-12 years,West End Community Centre,166096,Combined with Swim Kids 10  No class July 1,Mon-Fri,Jun 30-Jul 11,10:30-11:30 a.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 9,6-12 years,West End Community Centre,166097,Combined with Swim Kids 10,Thu/Tue,Jul3-31,7-8 p.m.
Aquatics,Schoolage Aquatics,RC Swim Kids 9,6-12 years,West End Community Centre,166098,Combined with Swim Kids 10,Thu,Jul 3-Aug 28,4-5 p.m.
